id,timestamp,student_id,grade,date_and_time_of_misbehavior,location_of_misbehavior,documenting_staff_id,documenting_staff,classroom_or_administrative_managed,type_of_misbehavior,narrative_description_of_misbehavior,consequence,reporting_staff_id,reporting_staff,d12_planning_completed,narrative_of_consequence
20,2014-03-18 08:58:00.000000,44,3,2014-01-31 10:53:00.000000,3rd grade classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12), Major Defiances (D12), Major Disruptions (D12)",Student was not following directions and then began refusing to line up with the classroom. Then student was in the hallway causing a disruption. Another teacher had to come and escort the student to d-12.,Verbal warning with reminder of positive expectation,96,Ms. Dragomire,"A, B, C, D",
21,2014-02-28 09:17:00.000000,44,3,2014-02-11 10:30:00.000000,PE,2,Mr. Barron,Administrative,Verbal/Physical Intimidation (D12),Student pushed another student because he was being called names.,Verbal warning with reminder of positive expectation,7,Mr.  Nunez,"A, B, C, D",
22,2014-02-27 08:26:00.000000,44,3,2014-02-18 12:25:00.000000,Gym (lunch),2,Mr. Barron,Administrative,"Minor Disruptions (CM), Recurring teacher managed behavior checked above (D12), Disrespectful language",,Verbal warning with reminder of positive expectation,88,Ms. Becca,"A, B, C, D",
23,2014-03-03 08:40:00.000000,44,4,2014-02-21 10:00:00.000000,Playground (Lunch),2,Mr. Barron,Administrative,"Fighting (D12), Major Disruptions (D12)","Student threw a frisbee at another student, also pushed the student.",Verbal warning with reminder of positive expectation,117,Ms. Priscilla,"A, B, C, D",
24,2014-03-18 11:02:00.000000,44,3,2014-03-11 09:53:00.000000,Gym (lunch),2,Mr. Barron,Administrative,"Name Calling (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student was name calling and pushing students.,Verbal warning with reminder of positive expectation,117,Ms. Priscilla,"A, B, C, D",
25,2014-04-09 09:35:00.000000,44,3,2014-04-08 12:36:00.000000,Gym (lunch),2,Mr. Barron,Administrative,"Play fighting (CM), Verbal/Physical Intimidation (D12)",,Verbal warning with reminder of positive expectation,112,Ms. Naechia,"A, B, C, D",
26,2014-04-28 09:38:00.000000,44,3,2014-04-22 09:47:00.000000,PE,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12), Disrespectful language",,Verbal warning with reminder of positive expectation,7,Mr.  Nunez,"A, B, C, D",
27,2014-05-01 11:29:00.000000,44,3,2014-05-01 10:40:00.000000,3rd grade classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student was refusing to be productive in class.,Verbal warning with reminder of positive expectation,95,Ms. Diaz,"A, B, C, D",
28,2014-05-22 10:27:00.000000,44,3,2014-05-07 09:47:00.000000,youngers playground,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Play fighting (CM)",student pushed another student on the younger playground,Verbal warning with reminder of positive expectation,115,Ms. Priscilla,"A, B, C, D",
29,2014-06-12 09:45:00.000000,44,3,2014-05-19 12:37:00.000000,3rd grade classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",laying on the floor and hit a ball out of Ms. P's hands.,Verbal warning with reminder of positive expectation,95,Ms. Diaz,"A, B, C, D",
30,2014-06-09 11:34:00.000000,44,3,2014-05-21 12:47:00.000000,3rd grade classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM)",,Verbal warning with reminder of positive expectation,88,Ms. Becca,"A, B, C, D",
31,2014-06-16 10:26:00.000000,44,3,2014-06-02 10:02:00.000000,Youngers lunch,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Verbal/Physical Intimidation (D12)",student got into a physical altercation when another student put their hands on him.,Verbal warning with reminder of positive expectation,112,Ms. Naechia,"A, B, C, D",
32,2014-06-18 11:41:00.000000,44,3,2014-06-06 09:56:00.000000,Lunch Recess,2,Mr. Barron,Administrative,Verbal/Physical Intimidation (D12),student was threatening another student with violence.,Verbal warning with reminder of positive expectation,119,Ms. Roxx,"A, B, C, D",
33,2014-01-14 09:37:00.000000,90,9,2014-01-13 08:30:00.000000,Ms. Tyler's Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Recurring teacher managed behavior checked above (D12)",,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
34,2014-01-14 09:38:00.000000,90,9,2014-01-13 08:30:00.000000,Ms. Tyler's Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Recurring teacher managed behavior checked above (D12)",,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
35,2014-02-28 09:33:00.000000,90,9,2014-02-05 12:00:00.000000,Math Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",Student was talking excessively in class.,Verbal warning with reminder of positive expectation,166,Ms. Duran,"A, B, C, D",
36,2014-02-28 09:45:00.000000,90,9,2014-02-21 08:47:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Recurring teacher managed behavior checked above (D12)",Student was having conversation during instructional time. Teacher attempted to redirect student but there was no success.,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
37,2014-01-27 12:05:00.000000,90,9,2014-03-21 00:10:00.000000,Spanish/Art classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM)",constantly talking in class and off task.,Verbal warning with reminder of positive expectation,118,Ms. Rodriguez,"A, B, C, D",
38,2014-01-24 09:00:00.000000,84,8,2014-01-17 10:10:00.000000,Science Classroom,2,Mr. Barron,Administrative,Major Disruptions (D12),Angel and another student were throwing a box of tissue back and forth during teachers instruction time.,Verbal warning with reminder of positive expectation,108,Ms. Linda,"A, B, C, D",
39,2014-01-23 11:11:00.000000,84,8,2014-01-21 11:00:00.000000,Science Classroom,2,Mr. Barron,Administrative,disrespectful language toward teacher,"called the teacher ""vieja""",Verbal warning with reminder of positive expectation,108,Ms. Linda,"A, B, C, D",
40,2014-02-28 09:22:00.000000,84,8,2014-02-05 11:05:00.000000,Science Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Recurring teacher managed behavior checked above (D12)","Student was being disruptive by having conversation with neighbor. Teacher attempted redirecting, then proceeded with D-12 referral.",Verbal warning with reminder of positive expectation,21,Ms.  Sanchez,"A, B, C, D",
41,2014-04-14 09:44:00.000000,84,8,2014-03-09 11:40:00.000000,Reading Specialist Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student was trying to have a conversation with a student passing outside the classroom door.,Verbal warning with reminder of positive expectation,59,Mr. Valentine,"A, B, C, D",
42,2014-01-16 10:00:00.000000,53,8,2014-01-15 11:00:00.000000,Science Classroom,2,Mr. Barron,Administrative,Major Disruptions (D12),Student Popped a balloon that was to be used for an experiment,Verbal warning with reminder of positive expectation,108,Ms. Linda,"A, B, C, D",
43,2014-03-05 13:41:00.000000,53,8,2014-02-25 11:04:00.000000,Science Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)","Student claimed "" I didn't feel like doing anything and that talking to my friends was a better choice.""",Verbal warning with reminder of positive expectation,108,Ms. Linda,"A, B, C, D",
44,2014-05-22 10:33:00.000000,53,8,2014-05-08 09:50:00.000000,Science Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM)","teacher proposed that he either wanted to be in class doing work or be in d-12, Student chose d-12.",Verbal warning with reminder of positive expectation,105,Ms. Kurth,"A, B, C, D",
45,2014-02-12 08:40:00.000000,153,8,2014-02-10 13:10:00.000000,8th Grade classroom,2,Mr. Barron,Administrative,Disrespectful language,,Verbal warning with reminder of positive expectation,55,Mr. Randal,"A, B, C, D",
46,2014-06-19 09:25:00.000000,35,7,2014-06-18 13:30:00.000000,Resource classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), inappropriate language",,Verbal warning with reminder of positive expectation,38,Mr. Jacobs,"A, B, C, D",
47,2014-01-13 11:05:00.000000,221,10,2014-01-13 09:30:00.000000,Science Classroom,2,Mr. Barron,Classroom,"Minor Disruptions (CM), Verbal/Physical Intimidation (D12)","Dante was not feeling well and was being bothered by another student. He informed the student of his not feeling well and he felt that the harassment continued. He then went on to threaten the student. By saying that he ""was going to hurt him if he was not going to shut up""",Verbal warning with reminder of positive expectation,108,Ms. Linda,"A, B, C, D",
48,2014-01-27 11:05:00.000000,229,4,2014-01-22 00:09:00.000000,lunch time,2,Mr. Barron,Administrative,Non-compliance/off-task (CM),yelling at classmates,Verbal warning with reminder of positive expectation,112,Ms. Naechia,"A, B, C, D",
49,2014-04-07 08:29:00.000000,229,3,2014-04-03 09:10:00.000000,PE,2,Mr. Barron,Administrative,Non-compliance/off-task (CM),,Verbal warning with reminder of positive expectation,32,Mr. Chuy Nunez,"A, B, C, D",
50,2014-04-09 09:23:00.000000,229,3,2014-04-08 12:36:00.000000,Playground (Lunch),2,Mr. Barron,Administrative,Verbal/Physical Intimidation (D12),,Verbal warning with reminder of positive expectation,112,Ms. Naechia,"A, B, C, D",
51,2014-04-21 09:12:00.000000,229,3,2014-04-18 09:20:00.000000,3rd grade classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Major Defiances (D12), Major Disruptions (D12), ripping papers off displays",,Verbal warning with reminder of positive expectation,108,Ms. Linda,"A, B, C, D",
52,2014-04-28 09:07:00.000000,229,3,2014-04-23 08:45:00.000000,youngers playground,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Play fighting (CM)",,Verbal warning with reminder of positive expectation,88,Ms. Becca,"A, B, C, D",
53,2014-06-18 11:15:00.000000,229,3,2014-06-09 14:20:00.000000,Yoga,2,Mr. Barron,Administrative,Minor Disruptions (CM),student became distractingly upset when told they were out of the challenge by another student.,Verbal warning with reminder of positive expectation,88,Ms. Becca,"A, B, C, D",
54,2014-06-18 09:36:00.000000,229,3,2014-06-13 13:56:00.000000,Lower grade hallway,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Major Defiances (D12), punching walls in hallway",student had a blow out in class and was in the hallway yelling at staff and punching walls. refusing to go to D-12,Verbal warning with reminder of positive expectation,53,Mr. Randal,,
55,2014-03-18 09:16:00.000000,258,11,2014-03-14 09:00:00.000000,12th and Imperial,2,Mr. Barron,Administrative,"Major Harassment (inl. sexual) (D12), Verbal/Physical Intimidation (D12)","Student was followed and harassed by a homeless man. The stranger got into the personal space of student and began to yell in his face. Insulting him and ""saying mean things"" to him.",cool down/strategies for dealing with situation,169,Self Referral,"A, B, C, D",
56,2014-04-21 10:07:00.000000,22,1,2014-04-11 10:25:00.000000,youngers playground,2,Mr. Barron,Administrative,"Play fighting (CM), Recurring teacher managed behavior checked above (D12)",student playing said that he wanted to fight two other students. The others took it seriously an argument started and they ended up fighting.,Verbal warning with reminder of positive expectation,117,Ms. Priscilla,"A, B, C, D",
57,2014-02-24 09:02:00.000000,5,7,2014-02-13 11:06:00.000000,7th grade classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",,Verbal warning with reminder of positive expectation,122,Ms. Lopez,"A, B, C, D",
58,2014-06-10 12:43:00.000000,5,7,2014-05-23 13:46:00.000000,7th grade classroom,2,Mr. Barron,Administrative,Major Defiances (D12),student had already skipped out on two days of mandatory after school tutoring.,Verbal warning with reminder of positive expectation,110,Ms. Duran,"A, B, C, D",
59,2014-04-16 09:29:00.000000,30,2,2014-04-15 11:45:00.000000,2nd grade classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",Gabriel was using David Carillo's markers and was asked to stop. Gabriel stopped at that moment but as he returned to his seat he touched his markers mocking David.,Verbal warning with reminder of positive expectation,42,Mr. Landers,"A, B, C, D",
60,2014-04-16 10:15:00.000000,16,3,2014-04-14 14:00:00.000000,PE,2,Mr. Barron,Administrative,Minor Disruptions (CM),student was celebrating that she had scored a goal and another student became upset with her celebration and pushed her.,Verbal warning with reminder of positive expectation,32,Mr. Chuy Nunez,"A, B, C, D",
61,2014-03-18 08:51:00.000000,257,6,2014-02-03 12:00:00.000000,6th Grade classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",Student was told they did the test incorrectly and student became upset and began refusing to re-do it.,Verbal warning with reminder of positive expectation,93,Ms. Daley,"A, B, C, D",
62,2014-04-02 09:04:00.000000,257,6,2014-03-25 08:15:00.000000,Lower grade hallway,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM)",constant talking in the hallway.,Verbal warning with reminder of positive expectation,93,Ms. Daley,"A, B, C, D",
63,2014-04-09 09:45:00.000000,257,6,2014-04-08 00:09:00.000000,6th Grade classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",,Verbal warning with reminder of positive expectation,93,Ms. Daley,"A, B, C, D",
64,2014-04-21 09:27:00.000000,257,6,2014-04-16 11:40:00.000000,Gym (break),2,Mr. Barron,Administrative,"Major Defiances (D12), throwing food",,Verbal warning with reminder of positive expectation,93,Ms. Daley,"A, B, C, D",
65,2014-05-22 10:35:00.000000,257,6,2014-05-08 10:15:00.000000,6th Grade classroom,2,Mr. Barron,Administrative,Minor Harassment (CM),student was under the impression that a student threw a ball at another on purpose and was being aggressive with that student.,Verbal warning with reminder of positive expectation,93,Ms. Daley,"A, B, C, D",
66,2014-06-13 09:35:00.000000,257,6,2014-05-23 10:15:00.000000,6th Grade classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",,Verbal warning with reminder of positive expectation,93,Ms. Daley,"A, B, C, D",
67,2014-06-18 08:27:00.000000,257,6,2014-06-17 10:15:00.000000,Gym (break),2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Play fighting (CM), Unauthorized food/gum chewing (CM), throwing food at students",student thought another student had dumped juice on his clothes and he responded by pouring juice on the student.,Verbal warning with reminder of positive expectation,93,Ms. Daley,"A, B, C, D",
68,2014-03-18 12:05:00.000000,191,11,2014-03-01 10:44:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student got upset and had a misunderstanding with another student.,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
69,2014-03-18 10:57:00.000000,191,11,2014-03-11 10:49:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student became upset with another student because she thought he was talking about her under his breath.,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",Mediated between the two and both students understood it was just a misunderstanding.
70,2014-04-30 09:09:00.000000,191,11,2014-04-29 11:01:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
71,2014-06-11 11:00:00.000000,191,11,2014-05-23 10:50:00.000000,English classroom,2,Mr. Barron,Administrative,yelling at teacher,,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
72,2014-01-14 11:41:00.000000,191,10,2014-01-14 10:30:00.000000,Ms. Tyler's Classroom,2,Mr. Barron,Administrative,Profanity directed at students (CM),Student became frustrated with classmates because teacher had to focus on redirecting students instead of moving forward with daily lesson. She then used profanity directed towards a student.,"Verbal warning with reminder of positive expectation, provided strategies for dealing with distracting students",127,Ms. Tyler,"A, B, C, D",
73,2014-03-18 08:50:00.000000,61,9,2014-02-03 13:11:00.000000,Science Classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Unauthorized Cell Phone/Electronic Device Use (CM), Recurring teacher managed behavior checked above (D12)",Student was using their electronics in class then refusing to turn it in after teacher asked they turn it in.,Verbal warning with reminder of positive expectation,108,Ms. Linda,"A, B, C, D",
74,2014-02-28 09:27:00.000000,61,9,2014-02-05 11:48:00.000000,Spanish/Art Classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Major Defiances (D12)",student was refusing to do classwork because they were not happy with the group that they were put in.,Verbal warning with reminder of positive expectation,166,Ms. Duran,"A, B, C, D",
75,2014-06-17 10:04:00.000000,61,9,2014-05-27 13:30:00.000000,Science Classroom,2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",teacher asked students to move from their current seats and students refused.,Verbal warning with reminder of positive expectation,105,Ms. Kurth,"A, B, C, D",
76,2014-01-14 08:20:00.000000,127,7,2014-01-13 11:49:00.000000,7th Grade Classroom,2,Mr. Barron,Classroom,Minor Disruptions (CM),"Student was excessively talking, off task and making beats on desk during instructional time.",Verbal warning with reminder of positive expectation,122,Ms. Lopez,"A, B, C, D",
77,2014-01-27 08:50:00.000000,127,7,2014-01-24 10:30:00.000000,Gym before school,2,Mr. Barron,Administrative,Play fighting (CM),Student was caught punching another student in the arm for his birthday.,Verbal warning with reminder of positive expectation,26,Mr. Alfredo,"A, B, C, D",
78,2014-03-18 09:00:00.000000,127,7,2014-02-03 14:45:00.000000,PE,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Minor Harassment (CM), Non-compliance/off-task (CM), Play fighting (CM)",Student got involved in another pair of students situation. The student witnessed another student taking his hat and he went and got it back. In doing so the student slapped that student.,Verbal warning with reminder of positive expectation,26,Mr. Alfredo,"A, B, C, D",
79,2014-03-18 10:29:00.000000,127,7,2014-03-11 12:00:00.000000,7th grade classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Unauthorized Cell Phone/Electronic Device Use (CM), Recurring teacher managed behavior checked above (D12)",student was not following directions then became upset upon redirection and began to listen to music in class.,Verbal warning with reminder of positive expectation,122,Ms. Lopez,"A, B, C, D",
80,2014-06-09 09:19:00.000000,127,7,2014-05-02 13:15:00.000000,7th grade classroom,2,Mr. Barron,Administrative,Minor Harassment (CM),student was becoming irritated with others who were talking bad about other students. He moved tables to avoid the problem.,Verbal warning with reminder of positive expectation,110,Ms. Duran,"A, B, C, D",
81,2014-05-29 11:20:00.000000,127,7,2014-05-05 11:27:00.000000,7th grade classroom,2,Mr. Barron,Administrative,Non-compliance/off-task (CM),not being productive,Verbal warning with reminder of positive expectation,97,Ms. Duran,"A, B, C, D",
82,2014-06-03 08:47:00.000000,127,7,2014-05-05 11:27:00.000000,7th grade classroom,2,Mr. Barron,Administrative,Non-compliance/off-task (CM),student was of task and non productive. He was distracted by issues going on at home.,Verbal warning with reminder of positive expectation,97,Ms. Duran,"A, B, C, D",
83,2014-06-10 12:44:00.000000,127,7,2014-05-23 13:40:00.000000,7th grade classroom,2,Mr. Barron,Administrative,Major Defiances (D12),student skipped out on two days of mandatory after school tutoring.,Verbal warning with reminder of positive expectation,110,Ms. Duran,"A, B, C, D",
84,2014-06-09 11:54:00.000000,127,7,2014-05-27 11:46:00.000000,7th grade classroom,2,Mr. Barron,Administrative,Non-compliance/off-task (CM),student had worked through a situation with another student but then was not doing class work. Teacher put his name on the board and student got upset.,Verbal warning with reminder of positive expectation,166,Ms. Duran,"A, B, C, D",
85,2014-03-18 10:56:00.000000,220,11,2014-03-11 10:49:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Recurring teacher managed behavior checked above (D12)",student had an argument with another student because she thought Rhaqil was saying things about her in his conversation.,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
86,2014-06-09 09:17:00.000000,220,11,2014-05-02 14:23:00.000000,English classroom,2,Mr. Barron,Administrative,"Minor Disruptions (CM), Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student was talking during instructional time.,Verbal warning with reminder of positive expectation,127,Ms. Tyler,"A, B, C, D",
87,2014-02-18 10:50:00.000000,101,1,2014-01-28 09:56:00.000000,Yoga,2,Mr. Barron,Administrative,Name Calling (CM),,Verbal warning with reminder of positive expectation,91,Ms. Chandra,"A, B, C, D",
88,2014-04-02 08:34:00.000000,101,2,2014-03-28 08:50:00.000000,Gym (lunch),2,Mr. Barron,Administrative,"Minor Disruptions (CM), Fighting (D12), Verbal/Physical Intimidation (D12)",Student started shoving and punching back and forth with another student.,Verbal warning with reminder of positive expectation,26,Mr. Alfredo,"A, B, C, D",
89,2014-02-18 09:39:00.000000,25,3,2014-01-29 12:00:00.000000,Playground,2,Mr. Barron,Administrative,"Minor Harassment (CM), Play fighting (CM)","This is one of the incidents that include ""corn dogging"" where a student knees another student in their rear end.",Verbal warning with reminder of positive expectation,45,Mr. Black,"A, B, C, D",
90,2014-06-11 13:51:00.000000,25,3,2014-05-21 08:21:00.000000,3rd grade classroom,2,Mr. Barron,Administrative,Disrespectful language toward staff,threw a ball at a student and used disrespectful language with teacher.,Verbal warning with reminder of positive expectation,88,Ms. Becca,"A, B, C, D",
91,2014-06-16 11:52:00.000000,25,3,2014-05-30 08:35:00.000000,3rd grade classroom,2,Mr. Barron,Administrative,Major Vandalism (D12),throwing wet paper towels onto the walls in the restroom.,Verbal warning with reminder of positive expectation,95,Ms. Diaz,"A, B, C, D",
92,2014-04-16 08:32:00.000000,38,1,2014-04-15 12:06:00.000000,Playground (Lunch),2,Mr. Barron,Administrative,"Non-compliance/off-task (CM), Recurring teacher managed behavior checked above (D12)",student was being defiant about lining up.,Verbal warning with reminder of positive expectation,117,Ms. Priscilla,"A, B, C, D",
